,player,x_start,y_start,recipient_name,x_end,y_end,pass_type,pass_outcome
613,Gianluigi Donnarumma,7.0,36.1,Leonardo Bonucci,8.8,55.7,Goal Kick,
614,Leonardo Bonucci,17.2,53.1,Marco Verratti,21.8,36.3,,
615,Marco Verratti,20.0,39.4,Leonardo Bonucci,22.3,54.6,,
616,Leonardo Bonucci,30.0,55.4,Emerson Palmieri dos Santos,68.6,6.0,,
617,Emerson Palmieri dos Santos,65.3,20.0,Marco Verratti,54.6,26.6,,
618,Marco Verratti,54.6,26.6,Jorge Luiz Frello Filho,57.8,34.0,,
619,Jorge Luiz Frello Filho,60.7,30.3,Lorenzo Insigne,68.3,27.5,,
620,Lorenzo Insigne,68.3,27.5,Marco Verratti,61.5,21.7,,
621,Marco Verratti,62.7,21.7,Giorgio Chiellini,55.8,23.2,,
622,Giorgio Chiellini,56.3,26.3,Leonardo Bonucci,51.7,42.0,,
623,Leonardo Bonucci,56.1,47.8,Jorge Luiz Frello Filho,66.1,44.0,,
624,Gianluigi Donnarumma,7.0,44.1,Leonardo Bonucci,12.0,54.9,Goal Kick,
625,Leonardo Bonucci,19.5,57.7,Giorgio Chiellini,21.5,34.0,,
626,Giorgio Chiellini,25.5,30.6,Marco Verratti,36.6,19.7,,
627,Marco Verratti,35.8,27.5,Leonardo Bonucci,29.4,53.7,,
628,Leonardo Bonucci,35.2,52.4,Giorgio Chiellini,37.2,31.2,,
629,Giorgio Chiellini,48.6,30.3,Leonardo Bonucci,44.9,48.3,,
630,Leonardo Bonucci,44.4,48.1,Giorgio Chiellini,43.8,28.0,,
631,Giorgio Chiellini,40.9,23.7,Marco Verratti,51.7,6.6,,
632,Marco Verratti,47.4,14.5,Jorge Luiz Frello Filho,54.6,5.1,,
633,Jorge Luiz Frello Filho,54.6,5.1,Marco Verratti,47.1,12.8,,
634,Marco Verratti,50.3,23.7,Bryan Cristante,65.0,36.8,,
635,Marco Verratti,28.6,72.4,Federico Bernardeschi,46.7,52.1,,
636,Bryan Cristante,57.5,78.9,Federico Bernardeschi,67.7,69.5,,
637,Federico Bernardeschi,68.3,70.1,Marco Verratti,59.8,69.2,,
638,Marco Verratti,60.4,69.8,Giovanni Di Lorenzo,54.3,77.2,,Incomplete
639,Domenico Berardi,18.3,38.9,Marco Verratti,20.6,34.3,Recovery,
640,Giorgio Chiellini,26.1,31.2,Marco Verratti,35.2,16.5,Free Kick,
641,Marco Verratti,35.2,16.5,Giorgio Chiellini,32.6,27.7,,
642,Giorgio Chiellini,30.6,33.7,Leonardo Bonucci,32.3,52.1,,
643,Leonardo Bonucci,36.3,48.9,Giorgio Chiellini,41.8,31.5,,
644,Giorgio Chiellini,52.9,26.0,Marco Verratti,53.5,8.9,,
645,Marco Verratti,54.0,17.1,Jorge Luiz Frello Filho,52.3,38.3,,
646,Jorge Luiz Frello Filho,52.3,42.6,Marco Verratti,51.2,30.6,,
647,Marco Verratti,51.2,30.6,Giorgio Chiellini,54.6,21.4,,
648,Giorgio Chiellini,52.0,21.4,Marco Verratti,47.0,32.1,,
649,Marco Verratti,47.0,32.1,Jorge Luiz Frello Filho,53.2,49.2,,
650,Jorge Luiz Frello Filho,62.1,58.3,Domenico Berardi,82.4,58.9,,
651,Domenico Berardi,82.4,58.9,Bryan Cristante,87.0,66.1,,
652,Bryan Cristante,107.6,73.7,Lorenzo Insigne,107.0,4.0,,
653,Leonardo Bonucci,33.2,52.4,Gianluigi Donnarumma,10.3,44.6,Recovery,
654,Gianluigi Donnarumma,14.0,42.3,Giorgio Chiellini,28.0,32.6,,
655,Giorgio Chiellini,31.7,29.5,Marco Verratti,41.5,35.1,,
656,Marco Verratti,44.4,30.6,Giorgio Chiellini,46.7,21.7,,
657,Giorgio Chiellini,46.7,21.7,Marco Verratti,42.1,28.9,,
658,Marco Verratti,49.4,30.0,Jorge Luiz Frello Filho,47.7,42.0,,
659,Jorge Luiz Frello Filho,52.3,42.6,Emerson Palmieri dos Santos,95.2,4.9,,
